Category,Item,Source,Status,Owner,Paid by,Total Cost,Cost per person,Column 1
Personal Care & Meds,Vaginal wipes to clean off dust,https://www.amazon.com/Good-Clean-Love-Moisturizing-pH-Balanced/dp/B09KDQ5HDR/ref=sr_1_2_sspa?crid=3G1JTU0YWP82Q&dib=eyJ2IjoiMSJ9.59mF-bFR2B6DeXoCtDslLnrxfqt4DqVwB1uqVISsiXO3Vpa3H1_u__GdLXxEoEUfBfQCqKbfoKm4sLTCYiyfcQ2wQzDrmidVstPRgnV9LsQ28O0Ko_HRso1E2Jlsw3LGM7E25mKgxFiflz0Tcew49T4WyiaIjY_BfhUl9JM2VqNiB0uiIXIM6gvvA59c_qQr1k5R65_EF3wm5CP4fI9RKYDUovy2nWCVLbadjCYjl9XandAimqCogV-4FmZGIaagFpfQ-4fPo-WF92au8DXLxYqI8BytwFDhQ9DBIFOf9iM.0O5HtTvU-orFv-7G_fPPv_ze9zFFuMMS8pjy9ep4OYM&dib_tag=se&keywords=good%2Bwipes&qid=1751328878&sprefix=good%2Bwipes%2Caps%2C124&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1,Complete,,,,,
Personal Care & Meds,,,,,,,,
Personal Care & Meds,pill container - put all meds in,,Complete,,,,,
Playa Gear & Fun,Drinks tumbler (w/ lid and copy of DL on the front),,Complete,,,,,
,,,,,,,,
Documents & Essentials,ID/License & Health Insurance card,,,,,,,
Documents & Essentials,Credit card/cash,,,,,,,
Documents & Essentials,Phone waterproof case,,Complete,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
head scarf,,,,,,,,
fun hat,,,,,,,,
backpack,,,,,,,,
hiking boots,,,,,,,,
sandals for camp,,,,,,,,
platform boots,WHITE PURCHASED,,,,,,,
yoga workout set,,,,,,,,
sweatpants,,,,,,,,
long t shirt,,,,,,,,
t shirt,,,,,,,,
undies for sleep,,,,,,,,
thick socks,DONE,,,,,,,
bikini,,,,,,,,
nipple covers,DONE,,,,,,,
,,,,,,,,
,,,,,,,,
,At all times MUST HAVE:,,,,,,,
,goggles,,,,,,,
,dust mask,,,,,,,
,water,,,,,,,
,snakcs,,,,,,,
,flashlight,,,,,,,
,toilet paper,,,,,,,
,cup w id,,,,,,,
,sunscreen,PURCHASED,,,,,,
,lip balm,PURCHASED,,,,,,
,first aid,,,,,,,
,thermal top,,,,,,,
,contacts,,,,,,,
,hand sanitizer,PURCHASED,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Totals,,,,,,,,
$800 camp fee,,,,,,,,
$750 ticket,,,,,,,,
$200 bike,,,,,,,,
$160 return bus,,,,,,,,
$212 bus,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
"$2,122",,,,,,,,
